01  20200414000130000000008850000MXP00000000000000000000USD
02          ICESARB0000012345           000000000897650MXP
02          ICESAPO0000012345           000000000897650MXP
02          ICESARB0000012345           000000000897650USD
02          BKLSARB0000012340           000000000705880MXP
02          SARB0000012300              000000000613010MXP
02          SARB0000012000              000000000521140MXP
02          SARB0000010000              000000000430370MXP
02          SARB0000023456              000000000358500MXP
02          SARB0000023450              000000000266730MXP
02          SARB0000023400              000000000174960MXP
02          SARB0000023000              000000000082090MXP
02          SARB0000020000              000000001990220MXP
02          SARB0000034567              000000002809450MXP
